001,8809655891696
002,8800271902391
003,8800279676867
004,8800271902957
005,8801068933475
010,2202000107644
012,8801068931839
014,8807999035288
015,8801037094374
016,8801043036597
020,6917878047201
022,8801308440633
023,8809216732147
026,8801114112649
027,8801114119082
028,8809136851096
031,8801047221616
032,8801043015639
033,8801392114779
034,8801492392114
800,2202000107644
039,8801128945288
040,4005906404835
041,4005906404835
042,8801056169817
043,8806002009957
044,8801056154011
045,8801056083571
047,8801056083571
048,8809197840107
049,8809311399818
050,8809311399818
057,8801048951017
060,8801166090056
062,8803651000045
072,8801116000456
073,8801116012176
700,8803651000045
086,8806416014691
900,2201148653150
